"project_status";"id";"naam";"startdatum";"ministerie";"peildatum.a";"rapportage_herijking.a";"actueel_einddatum.a";"daadwerkelijk_totaal_projectkosten.a";"actueel_totaal_projectkosten.a";"peildatum.z";"rapportage_herijking.z";"actueel_einddatum.z";"daadwerkelijk_totaal_projectkosten.z";"actueel_totaal_projectkosten.z";"doorlooptijd.z";"hex";"col";"verschil_abs";"verschil_per"
"Afgerond";"292001";"Integraal verbeterplan SMF";2013-11-29;"Sociale Zaken en Werkgelegenheid";2015-11-15;"Initieel";2015-11-15;0;5,46;2016-11-01;"Rapportage";2016-11-01;12,3;12,3;1068;"#BE5900";"orange";6,84;125,274725274725
"Afgerond";"291374";"Nieuwe ICT-omgeving ILT";2012-10-04;"Infrastructuur en Milieu";2015-12-31;"Initieel";2015-12-31;0;2,51;2016-11-30;"Rapportage";2016-11-30;15,3;15,3;1518;"#BE5900";"orange";12,79;509,561752988048
"Afgerond";"291951";"Herontwerp Grote Geldstromen";2013-02-12;"Sociale Zaken en Werkgelegenheid";2013-12-31;"Initieel";2013-12-31;0;4,7;2016-12-13;"Rapportage";2016-12-13;8,7;8,7;1400;"#BE5900";"orange";4;85,1063829787234
"Afgerond";"259645";"Programma Rationalisatie";2014-12-31;"Financiën";2017-12-31;"Initieel";2017-12-31;0;105;2016-12-31;"Rapportage";2016-12-31;28,66;28,66;731;"#BE5900";"orange";-76,34;-72,7047619047619
"Afgerond";"158735";"Basisregistraties";2006-07-01;"Financiën";2011-12-31;"Initieel";2011-12-31;0;35;2015-12-31;"Rapportage";2015-12-31;42,7;42,7;3470;"#BE5900";"orange";7,7;22
"Afgerond";"160187";"Vernieuwing Rekencentrum DJI (3V)";2012-01-01;"Veiligheid en Justitie";2016-12-31;"Initieel";2016-12-31;0;47,55;2016-01-14;"Rapportage";2016-01-14;18,09;18,09;1474;"#BE5900";"orange";-29,46;-61,9558359621451
"Afgerond";"296561";"A2 Passage Maastricht";2011-12-31;"Infrastructuur en Milieu";2016-12-31;"Initieel";2016-12-31;0;0;2016-12-31;"Rapportage";2016-12-31;0;0;1827;"#BE5900";"orange";0;0
"Afgerond";"291424";"Service Gerichte Architectuur";2013-10-01;"Infrastructuur en Milieu";2015-12-31;"Initieel";2015-12-31;0;1,7;2016-06-30;"Rapportage";2016-06-30;8,27;8,27;1003;"#BE5900";"orange";6,57;386,470588235294
"Afgerond";"293007";"Contactcenter Diensten";2014-12-19;"Sociale Zaken en Werkgelegenheid";2015-12-31;"Initieel";2015-12-31;0;4,1;2016-10-18;"Rapportage";2016-10-18;6,71;6,71;669;"#BE5900";"orange";2,61;63,6585365853659
"Afgerond";"160196";"Elektronische Detentie";2013-05-15;"Veiligheid en Justitie";2014-09-01;"Initieel";2014-09-01;0;9,02;2016-06-30;"Rapportage";2016-06-30;3,39;3,39;1142;"#BE5900";"orange";-5,63;-62,4168514412417
"Afgerond";"292957";"Één Mijnomgeving";2013-02-01;"Sociale Zaken en Werkgelegenheid";2015-12-31;"Initieel";2015-12-31;0;4,07;2016-06-30;"Herijking";2016-06-30;4,71;4,71;1245;"#BE5900";"orange";0,64;15,7248157248157
"Afgerond";"323619";"Herinrichting Logisch Toegangsbeheer";2005-11-24;"Financiën";2007-12-31;"Initieel";2007-12-31;0;12,15;2016-03-17;"Rapportage";2016-03-17;10,31;10,31;3766;"#BE5900";"orange";-1,84;-15,1440329218107
"Afgerond";"295068";"Elektronisch Patiënten Dossier (EPD) bij DJI";2012-11-01;"Veiligheid en Justitie";2014-12-31;"Initieel";2014-12-31;0;5,27;2016-11-22;"Rapportage";2016-11-22;8,98;8,98;1482;"#BE5900";"orange";3,71;70,3984819734346
"Afgerond";"301038";"IH Release 2016.3";2015-09-15;"Financiën";2016-11-15;"Initieel";2016-11-15;0;5,2;2016-11-15;"Rapportage";2016-11-15;3,29;3,29;427;"#BE5900";"orange";-1,91;-36,7307692307692
"Afgerond";"160180";"SEPA";2011-09-23;"Financiën";2013-01-01;"Initieel";2013-01-01;0;20,83;2014-02-01;"Rapportage";2014-02-01;18,3;18,3;862;"#BE5900";"orange";-2,53;-12,1459433509361
"Afgerond";"158756";"TGV";2009-08-01;"Veiligheid en Justitie";2011-07-01;"Initieel";2011-07-01;0;47,22;2011-07-01;"Rapportage";2011-07-01;35,86;45,46;699;"#BE5900";"orange";-11,36;-24,0576027107158
"Afgerond";"299496";"Doorontwikkeling Digitalisering stukkenstroom VWS";2013-04-01;"Volksgezondheid, Welzijn en Sport";2015-12-31;"Initieel";2015-12-31;0;6,91;2016-06-30;"Rapportage";2016-06-30;7,3;7,3;1186;"#BE5900";"orange";0,39;5,64399421128798
"Afgerond";"259595";"Online Aangifte Voorziening (OLAV)";2013-05-08;"Financiën";2015-03-31;"Initieel";2015-03-31;0;18,61;2016-03-31;"Rapportage";2016-03-31;29,18;29,18;1058;"#BE5900";"orange";10,57;56,7974207415368
"Afgerond";"295250";"DRIFE";2012-07-16;"Veiligheid en Justitie";2015-03-31;"Initieel";2015-03-31;0;3,39;2016-07-28;"Rapportage";2016-07-28;6,57;6,57;1473;"#BE5900";"orange";3,18;93,8053097345133
"Afgerond";"299052";"Uitvoeringsketen BBR";2014-01-01;"Economische Zaken";2015-08-01;"Initieel";2015-08-01;0;5,49;2016-08-09;"Rapportage";2016-08-09;6,84;6,84;951;"#BE5900";"orange";1,35;24,5901639344262
"Afgerond";"160188";"Vervanging Voice Communicatiesysteem";2010-05-10;"Infrastructuur en Milieu";2014-12-31;"Initieel";2014-12-31;0;25,13;2015-03-31;"Rapportage";2015-03-31;22,6;22,6;1786;"#BE5900";"orange";-2,53;-10,0676482292081
"Afgerond";"293923";"Landelijke Voorziening BGT";2011-01-03;"Infrastructuur en Milieu";2014-12-31;"Initieel";2014-12-31;0;6,4;2016-06-16;"Rapportage";2016-06-16;6,91;6,91;1991;"#BE5900";"orange";0,51;7,96875
"Afgerond";"158734";"eCustoms";2006-01-01;"Financiën";2008-01-01;"Initieel";2008-01-01;0;37;2010-12-31;"Rapportage";2010-12-31;65,28;65,28;1825;"#BE5900";"orange";28,28;76,4324324324324
"Afgerond";"291901";"Robuust ERD-schap en werkgever-verhaal";2013-04-23;"Sociale Zaken en Werkgelegenheid";2015-02-28;"Initieel";2015-02-28;0;6,86;2016-06-30;"Rapportage";2016-06-30;14,69;14,69;1164;"#BE5900";"orange";7,83;114,139941690962
"Afgerond";"160192";"Orion";2009-04-01;"Binnenlandse Zaken en Koninkrijksrelaties";2012-11-01;"Initieel";2012-11-01;0;17,97;2013-08-31;"Rapportage";2013-08-31;22,01;22,01;1613;"#BE5900";"orange";4,04;22,4819143016138
"Afgerond";"252231";"Wijziging oude Werkloosheidswet (WW)";2014-04-29;"Sociale Zaken en Werkgelegenheid";2016-03-31;"Initieel";2016-03-31;0;14,9;2016-03-31;"Rapportage";2016-03-31;23,29;23,29;702;"#BE5900";"orange";8,39;56,3087248322148
"Afgerond";"300624";"IH Release 2016.1";2015-01-15;"Financiën";2016-03-15;"Initieel";2016-03-15;0;5,6;2016-03-15;"Rapportage";2016-03-15;4,6;4,6;425;"#BE5900";"orange";-1;-17,8571428571429
"Afgerond";"297656";"Studievoorschot in WSF-systemen";2014-11-14;"Onderwijs, Cultuur en Wetenschap";2016-04-01;"Initieel";2016-04-01;0;7;2016-04-01;"Rapportage";2016-04-01;5,68;5,68;504;"#BE5900";"orange";-1,32;-18,8571428571429
"Afgerond";"160171";"UWV: Kantoorautomatisering, Werkplek en Netwerken";2010-01-01;"Sociale Zaken en Werkgelegenheid";2015-12-31;"Initieel";2015-12-31;0;42,99;2015-12-31;"Rapportage";2015-12-31;47,63;47,63;2190;"#BE5900";"orange";4,64;10,7932077227262
"Afgerond";"160202";"Programma Digitale Dienstverlening (DDV)";2009-05-01;"Economische Zaken";2011-12-31;"Initieel";2011-12-31;0;33,12;2012-07-01;"Rapportage";2012-07-01;22,08;31,84;1157;"#BE5900";"orange";-11,04;-33,3333333333333
"Afgerond";"160208";"AERIUS";2013-01-01;"Economische Zaken";2014-04-30;"Initieel";2014-04-30;0;6,4;2016-03-31;"Rapportage";2016-03-31;9,73;9,73;1185;"#BE5900";"orange";3,33;52,03125
